Thread #1
1. Point A: -59:76; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 46; Angle B: 176; Angle C: 91; Angle D: 45; Square: 560;
18. Point A: 61:-7; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 150; Angle B: 93; Angle C: 91; Angle D: 24; Square: 1800;
19. Point A: 13:-66; Point B: 38:96; Point C: 72:96; Point D: 93:75; Angle A: 20; Angle B: 98; Angle C: 135; Angle D: 105; Square: 9234;
20. Point A: 0:95; Point B: 38:96; Point C: 72:96; Point D: 93:75; Angle A: 13; Angle B: 178; Angle C: 135; Angle D: 32; Square: 63;
21. Point A: -20:-67; Point B: -13:57; Point C: 41:57; Point D: 96:-2; Angle A: 57; Angle B: 93; Angle C: 132; Angle D: 76; Square: 10540;
22. Point A: -13:57; Point B: 32:61; Point C: 70:61; Point D: 96:-2; Angle A: 33; Angle B: 174; Angle C: 112; Angle D: 39; Square: 292;
23. Point A: -28:31; Point B: 32:61; Point C: 70:61; Point D: 92:-19; Angle A: 49; Angle B: 153; Angle C: 105; Angle D: 52; Square: 2370;
24. Point A: 65:-45; Point B: 92:-19; Point C: 94:-19; Point D: 97:-98; Angle A: 102; Angle B: 136; Angle C: 92; Angle D: 28; Square: 442;
25. Point A: -40:-22; Point B: 92:-19; Point C: 94:-19; Point D: 97:-98; Angle A: 30; Angle B: 178; Angle C: 92; Angle D: 58; Square: 207;
26. Point A: 4:-33; Point B: 92:-19; Point C: 94:-19; Point D: 97:-98; Angle A: 43; Angle B: 170; Angle C: 92; Angle D: 52; Square: 658;
27. Point A: 10:-69; Point B: 92:-19; Point C: 94:-19; Point D: 97:-98; Angle A: 49; Angle B: 148; Angle C: 92; Angle D: 69; Square: 2200;
28. Point A: -62:-28; Point B: 92:-19; Point C: 94:-19; Point D: 97:-98; Angle A: 27; Angle B: 176; Angle C: 92; Angle D: 64; Square: 720;
29. Point A: -85:-41; Point B: -84:11; Point C: -60:11; Point D: 92:-19; Angle A: 81; Angle B: 91; Angle C: 168; Angle D: 18; Square: 5200;
30. Point A: -61:-100; Point B: -56:-4; Point C: 1:-4; Point D: 53:-59; Angle A: 67; Angle B: 92; Angle C: 133; Angle D: 66; Square: 8160;
31. Point A: -56:-4; Point B: 16:44; Point C: 49:44; Point D: 53:-59; Angle A: 60; Angle B: 146; Angle C: 92; Angle D: 61; Square: 3408;
32. Point A: -28:-70; Point B: 16:44; Point C: 49:44; Point D: 53:-59; Angle A: 61; Angle B: 111; Angle C: 92; Angle D: 95; Square: 6498;
33. Point A: -33:-76; Point B: 16:44; Point C: 49:44; Point D: 53:-59; Angle A: 56; Angle B: 112; Angle C: 92; Angle D: 98; Square: 7080;
34. Point A: -56:-56; Point B: 38:-3; Point C: 86:-3; Point D: 91:-78; Angle A: 37; Angle B: 150; Angle C: 93; Angle D: 77; Square: 5141;
35. Point A: -43:-84; Point B: 53:-59; Point C: 93:-59; Point D: 94:-94; Angle A: 18; Angle B: 165; Angle C: 91; Angle D: 84; Square: 2200;
36. Point A: -3:-87; Point B: 53:-59; Point C: 93:-59; Point D: 94:-94; Angle A: 30; Angle B: 153; Angle C: 91; Angle D: 84; Square: 1904;
37. Point A: -29:-35; Point B: 1:-4; Point C: 28:-4; Point D: 91:-78; Angle A: 65; Angle B: 134; Angle C: 130; Angle D: 29; Square: 2263;
38. Point A: -4:-71; Point B: 24:28; Point C: 47:28; Point D: 85:-71; Angle A: 74; Angle B: 105; Angle C: 110; Angle D: 69; Square: 5544;
39. Point A: -31:-53; Point B: 24:28; Point C: 47:28; Point D: 85:-71; Angle A: 64; Angle B: 124; Angle C: 110; Angle D: 60; Square: 5589;
40. Point A: 24:28; Point B: 28:66; Point C: 70:66; Point D: 85:-71; Angle A: 142; Angle B: 96; Angle C: 96; Angle D: 25; Square: 1938;
41. Point A: -13:-65; Point B: 28:66; Point C: 70:66; Point D: 85:-71; Angle A: 76; Angle B: 107; Angle C: 96; Angle D: 80; Square: 9170;
42. Point A: -59:-49; Point B: 28:66; Point C: 70:66; Point D: 85:-71; Angle A: 61; Angle B: 127; Angle C: 96; Angle D: 75; Square: 10695;
43. Point A: -60:-17; Point B: 28:66; Point C: 70:66; Point D: 74:2; Angle A: 35; Angle B: 136; Angle C: 93; Angle D: 94; Square: 7304;
44. Point A: -60:11; Point B: -47:90; Point C: -32:90; Point D: 10:-81; Angle A: 133; Angle B: 99; Angle C: 103; Angle D: 23; Square: 3318;
45. Point A: -34:70; Point B: 26:72; Point C: 46:72; Point D: 94:54; Angle A: 9; Angle B: 178; Angle C: 159; Angle D: 13; Square: 148;
46. Point A: -63:-35; Point B: 26:72; Point C: 46:72; Point D: 94:54; Angle A: 20; Angle B: 129; Angle C: 159; Angle D: 50; Square: 9416;
47. Point A: 10:-81; Point B: 26:72; Point C: 46:72; Point D: 94:54; Angle A: 25; Angle B: 95; Angle C: 159; Angle D: 78; Square: 7956;
48. Point A: -85:-53; Point B: 15:40; Point C: 79:40; Point D: 82:-8; Angle A: 27; Angle B: 137; Angle C: 93; Angle D: 101; Square: 10695;
49. Point A: 71:5; Point B: 80:42; Point C: 94:42; Point D: 99:-33; Angle A: 129; Angle B: 103; Angle C: 93; Angle D: 32; Square: 777;
50. Point A: -54:-69; Point B: 0:10; Point C: 52:10; Point D: 82:-8; Angle A: 31; Angle B: 124; Angle C: 149; Angle D: 55; Square: 7426;
51. Point A: -92:-41; Point B: 0:10; Point C: 52:10; Point D: 82:-8; Angle A: 18; Angle B: 150; Angle C: 149; Angle D: 41; Square: 5763;
52. Point A: 0:10; Point B: 19:61; Point C: 70:61; Point D: 82:-8; Angle A: 81; Angle B: 110; Angle C: 99; Angle D: 67; Square: 3366;
53. Point A: -39:-46; Point B: 52:56; Point C: 92:56; Point D: 94:4; Angle A: 27; Angle B: 131; Angle C: 92; Angle D: 108; Square: 8772;
54. Point A: 22:-79; Point B: 52:56; Point C: 92:56; Point D: 94:4; Angle A: 28; Angle B: 102; Angle C: 92; Angle D: 136; Square: 7560;
55. Point A: -73:34; Point B: -29:59; Point C: 42:59; Point D: 82:-8; Angle A: 44; Angle B: 150; Angle C: 120; Angle D: 44; Square: 2825;
56. Point A: -69:-38; Point B: 82:-8; Point C: 93:-8; Point D: 99:-33; Angle A: 9; Angle B: 168; Angle C: 103; Angle D: 78; Square: 2670;
57. Point A: 82:-8; Point B: 88:-2; Point C: 96:-2; Point D: 99:-33; Angle A: 100; Angle B: 135; Angle C: 95; Angle D: 28; Square: 72;
58. Point A: 21:-58; Point B: 72:-29; Point C: 95:-29; Point D: 99:-33; Angle A: 11; Angle B: 150; Angle C: 135; Angle D: 62; Square: 1450;
59. Point A: 73:-61; Point B: 88:-2; Point C: 96:-2; Point D: 99:-33; Angle A: 28; Angle B: 104; Angle C: 95; Angle D: 131; Square: 1003;
60. Point A: 72:-29; Point B: 88:-2; Point C: 96:-2; Point D: 99:-33; Angle A: 67; Angle B: 120; Angle C: 95; Angle D: 76; Square: 459;
61. Point A: 40:35; Point B: 80:42; Point C: 94:42; Point D: 99:-33; Angle A: 58; Angle B: 170; Angle C: 93; Angle D: 37; Square: 252;
62. Point A: 54:-32; Point B: 88:-2; Point C: 96:-2; Point D: 99:-33; Angle A: 42; Angle B: 138; Angle C: 95; Angle D: 83; Square: 780;
63. Point A: -50:-41; Point B: 88:-2; Point C: 96:-2; Point D: 99:-33; Angle A: 12; Angle B: 164; Angle C: 95; Angle D: 87; Square: 3042;
64. Point A: -1:36; Point B: 35:41; Point C: 56:41; Point D: 73:-85; Angle A: 66; Angle B: 172; Angle C: 97; Angle D: 23; Square: 235;
65. Point A: 73:-85; Point B: 80:42; Point C: 94:42; Point D: 99:-33; Angle A: 23; Angle B: 93; Angle C: 93; Angle D: 149; Square: 2540;
66. Point A: 35:41; Point B: 80:42; Point C: 94:42; Point D: 99:-33; Angle A: 50; Angle B: 178; Angle C: 93; Angle D: 37; Square: 39;
67. Point A: -38:-66; Point B: 54:-30; Point C: 69:-30; Point D: 99:-33; Angle A: 7; Angle B: 158; Angle C: 174; Angle D: 19; Square: 2736;
68. Point A: -90:35; Point B: -41:62; Point C: 57:62; Point D: 99:-33; Angle A: 48; Angle B: 151; Angle C: 113; Angle D: 46; Square: 3861;
69. Point A: -96:-33; Point B: -63:51; Point C: -6:51; Point D: 68:-15; Angle A: 62; Angle B: 111; Angle C: 138; Angle D: 47; Square: 9240;
70. Point A: -8:-66; Point B: 8:55; Point C: 83:55; Point D: 85:52; Angle A: 30; Angle B: 97; Angle C: 123; Angle D: 108; Square: 10164;
71. Point A: -70:54; Point B: 8:55; Point C: 83:55; Point D: 85:52; Angle A: 1; Angle B: 179; Angle C: 123; Angle D: 55; Square: 115;
72. Point A: -21:24; Point B: -6:51; Point C: 16:51; Point D: 18:-86; Angle A: 131; Angle B: 119; Angle C: 90; Angle D: 18; Square: 810;
73. Point A: -19:22; Point B: -6:51; Point C: 16:51; Point D: 18:-86; Angle A: 136; Angle B: 114; Angle C: 90; Angle D: 18; Square: 841;
74. Point A: 68:25; Point B: 89:46; Point C: 90:46; Point D: 97:11; Angle A: 70; Angle B: 135; Angle C: 101; Angle D: 52; Square: 315;
75. Point A: 22:47; Point B: 58:49; Point C: 81:49; Point D: 89:46; Angle A: 4; Angle B: 176; Angle C: 159; Angle D: 19; Square: 90;
76. Point A: 21:-28; Point B: 58:49; Point C: 81:49; Point D: 89:46; Angle A: 16; Angle B: 115; Angle C: 159; Angle D: 67; Square: 3465;
77. Point A: -48:-17; Point B: 58:49; Point C: 81:49; Point D: 89:46; Angle A: 7; Angle B: 148; Angle C: 159; Angle D: 45; Square: 5280;
78. Point A: 52:-93; Point B: 89:46; Point C: 90:46; Point D: 97:11; Angle A: 8; Angle B: 104; Angle C: 101; Angle D: 145; Square: 3197;
79. Point A: -32:-4; Point B: 89:46; Point C: 90:46; Point D: 97:11; Angle A: 15; Angle B: 157; Angle C: 101; Angle D: 85; Square: 3250;
80. Point A: -15:10; Point B: 7:16; Point C: 23:16; Point D: 55:-45; Angle A: 53; Angle B: 164; Angle C: 117; Angle D: 24; Square: 258;
81. Point A: 7:16; Point B: 37:31; Point C: 73:31; Point D: 79:-21; Angle A: 53; Angle B: 153; Angle C: 96; Angle D: 56; Square: 810;
82. Point A: 36:15; Point B: 37:31; Point C: 73:31; Point D: 97:11; Angle A: 90; Angle B: 93; Angle C: 140; Angle D: 36; Square: 768;
83. Point A: -51:-4; Point B: -50:42; Point C: 94:42; Point D: 100:-39; Angle A: 101; Angle B: 91; Angle C: 94; Angle D: 72; Square: 6762;
84. Point A: -82:-44; Point B: -50:42; Point C: 94:42; Point D: 100:-39; Angle A: 68; Angle B: 110; Angle C: 94; Angle D: 87; Square: 14018;
85. Point A: -88:67; Point B: -56:87; Point C: 67:87; Point D: 100:-39; Angle A: 61; Angle B: 147; Angle C: 104; Angle D: 45; Square: 3100;
86. Point A: -66:-20; Point B: -51:-12; Point C: -32:-12; Point D: 40:-74; Angle A: 55; Angle B: 151; Angle C: 139; Angle D: 13; Square: 496;
87. Point A: -87:-68; Point B: -51:-12; Point C: -32:-12; Point D: 40:-74; Angle A: 59; Angle B: 122; Angle C: 139; Angle D: 38; Square: 4088;
88. Point A: -98:-56; Point B: -51:-12; Point C: -32:-12; Point D: 40:-74; Angle A: 50; Angle B: 136; Angle C: 139; Angle D: 33; Square: 3432;
89. Point A: -51:-12; Point B: -18:17; Point C: 6:17; Point D: 40:-74; Angle A: 75; Angle B: 138; Angle C: 110; Angle D: 35; Square: 1653;
90. Point A: -90:-86; Point B: 29:-23; Point C: 81:-23; Point D: 84:-55; Angle A: 17; Angle B: 152; Angle C: 95; Angle D: 94; Square: 7119;
91. Point A: -57:-99; Point B: -3:79; Point C: 43:79; Point D: 45:64; Angle A: 15; Angle B: 106; Angle C: 97; Angle D: 140; Square: 13172;
92. Point A: -82:-30; Point B: -3:79; Point C: 43:79; Point D: 45:64; Angle A: 17; Angle B: 125; Angle C: 97; Angle D: 118; Square: 9374;
93. Point A: -70:-98; Point B: -3:79; Point C: 43:79; Point D: 45:64; Angle A: 14; Angle B: 110; Angle C: 97; Angle D: 137; Square: 14160;
94. Point A: -88:0; Point B: -3:79; Point C: 43:79; Point D: 45:64; Angle A: 17; Angle B: 137; Angle C: 97; Angle D: 108; Square: 7031;
95. Point A: -99:70; Point B: -3:79; Point C: 43:79; Point D: 45:64; Angle A: 7; Angle B: 174; Angle C: 97; Angle D: 80; Square: 855;
96. Point A: -3:79; Point B: 19:96; Point C: 72:96; Point D: 80:-80; Angle A: 100; Angle B: 142; Angle C: 92; Angle D: 24; Square: 1156;
97. Point A: -32:-12; Point B: 19:96; Point C: 72:96; Point D: 80:-80; Angle A: 95; Angle B: 115; Angle C: 92; Angle D: 56; Square: 8856;
98. Point A: 19:96; Point B: 32:99; Point C: 93:99; Point D: 94:-22; Angle A: 70; Angle B: 167; Angle C: 90; Angle D: 31; Square: 204;
99. Point A: -42:-81; Point B: 72:-24; Point C: 95:-24; Point D: 100:-80; Angle A: 26; Angle B: 153; Angle C: 95; Angle D: 85; Square: 4674;
100. Point A: -95:-75; Point B: -58:-50; Point C: 86:-50; Point D: 100:-80; Angle A: 35; Angle B: 145; Angle C: 115; Angle D: 63; Square: 4225;
101. Point A: -52:-87; Point B: 16:48; Point C: 87:48; Point D: 89:17; Angle A: 26; Angle B: 116; Angle C: 93; Angle D: 122; Square: 14310;
102. Point A: -58:-50; Point B: 16:48; Point C: 87:48; Point D: 89:17; Angle A: 28; Angle B: 127; Angle C: 93; Angle D: 110; Square: 10682;
103. Point A: -62:-45; Point B: 16:48; Point C: 87:48; Point D: 89:17; Angle A: 27; Angle B: 129; Angle C: 93; Angle D: 108; Square: 10323;
104. Point A: -36:-9; Point B: 24:43; Point C: 73:43; Point D: 89:17; Angle A: 29; Angle B: 139; Angle C: 121; Angle D: 70; Square: 4524;
105. Point A: 24:43; Point B: 57:62; Point C: 89:62; Point D: 92:56; Angle A: 19; Angle B: 150; Angle C: 116; Angle D: 74; Square: 950;
106. Point A: -8:-3; Point B: 3:37; Point C: 53:37; Point D: 89:17; Angle A: 62; Angle B: 105; Angle C: 150; Angle D: 40; Square: 2920;
107. Point A: -39:13; Point B: 3:37; Point C: 53:37; Point D: 89:17; Angle A: 27; Angle B: 150; Angle C: 150; Angle D: 30; Square: 2136;
108. Point A: -55:-17; Point B: 3:37; Point C: 53:37; Point D: 89:17; Angle A: 29; Angle B: 137; Angle C: 150; Angle D: 42; Square: 5238;
109. Point A: -92:-87; Point B: 3:37; Point C: 53:37; Point D: 89:17; Angle A: 22; Angle B: 127; Angle C: 150; Angle D: 58; Square: 14260;
110. Point A: 3:37; Point B: 57:62; Point C: 89:62; Point D: 92:56; Angle A: 12; Angle B: 155; Angle C: 116; Angle D: 75; Square: 1500;
111. Point A: 29:-52; Point B: 57:62; Point C: 89:62; Point D: 92:56; Angle A: 16; Angle B: 103; Angle C: 116; Angle D: 123; Square: 5358;
112. Point A: 9:8; Point B: 57:62; Point C: 89:62; Point D: 92:56; Angle A: 18; Angle B: 131; Angle C: 116; Angle D: 93; Square: 3078;
113. Point A: -30:-38; Point B: 28:22; Point C: 72:22; Point D: 86:7; Angle A: 24; Angle B: 134; Angle C: 133; Angle D: 68; Square: 4800;
114. Point A: -46:-97; Point B: 28:22; Point C: 72:22; Point D: 86:7; Angle A: 19; Angle B: 121; Angle C: 133; Angle D: 85; Square: 10472;
115. Point A: 2:-91; Point B: 9:43; Point C: 73:43; Point D: 86:7; Angle A: 37; Angle B: 92; Angle C: 109; Angle D: 119; Square: 9916;
116. Point A: 67:87; Point B: 69:89; Point C: 73:89; Point D: 95:-29; Angle A: 121; Angle B: 135; Angle C: 100; Angle D: 3; Square: 32;
117. Point A: -79:-12; Point B: 51:-2; Point C: 53:-2; Point D: 95:-29; Angle A: 9; Angle B: 175; Angle C: 147; Angle D: 27; Square: 880;
118. Point A: 51:-2; Point B: 53:37; Point C: 72:37; Point D: 95:-29; Angle A: 118; Angle B: 92; Angle C: 109; Angle D: 39; Square: 1209;
119. Point A: -80:49; Point B: 7:78; Point C: 26:78; Point D: 95:-29; Angle A: 42; Angle B: 161; Angle C: 122; Angle D: 33; Square: 2813;
120. Point A: 7:78; Point B: 69:89; Point C: 73:89; Point D: 91:-33; Angle A: 62; Angle B: 169; Angle C: 98; Angle D: 28; Square: 484;
121. Point A: -83:35; Point B: 53:37; Point C: 72:37; Point D: 91:-33; Angle A: 22; Angle B: 179; Angle C: 105; Angle D: 53; Square: 192;
122. Point A: -48:-26; Point B: 53:37; Point C: 72:37; Point D: 91:-33; Angle A: 34; Angle B: 148; Angle C: 105; Angle D: 71; Square: 4977;
123. Point A: -88:-68; Point B: -64:-21; Point C: -30:-21; Point D: 30:-75; Angle A: 66; Angle B: 117; Angle C: 138; Angle D: 38; Square: 3572;
124. Point A: -64:-21; Point B: 53:37; Point C: 72:37; Point D: 91:-33; Angle A: 30; Angle B: 153; Angle C: 105; Angle D: 70; Square: 5046;
125. Point A: -72:-25; Point B: 53:37; Point C: 72:37; Point D: 91:-33; Angle A: 29; Angle B: 153; Angle C: 105; Angle D: 72; Square: 5642;
126. Point A: 53:37; Point B: 69:89; Point C: 73:89; Point D: 91:-33; Angle A: 134; Angle B: 107; Angle C: 98; Angle D: 20; Square: 1092;
127. Point A: -95:82; Point B: 69:89; Point C: 73:89; Point D: 91:-33; Angle A: 34; Angle B: 177; Angle C: 98; Angle D: 49; Square: 665;
128. Point A: -82:76; Point B: 69:89; Point C: 73:89; Point D: 91:-33; Angle A: 37; Angle B: 175; Angle C: 98; Angle D: 49; Square: 1144;
129. Point A: 30:-75; Point B: 32:12; Point C: 95:12; Point D: 100:-15; Angle A: 48; Angle B: 91; Angle C: 100; Angle D: 120; Square: 5742;
130. Point A: 32:12; Point B: 69:89; Point C: 73:89; Point D: 91:-33; Angle A: 101; Angle B: 115; Angle C: 98; Angle D: 44; Square: 2387;
131. Point A: 33:-29; Point B: 42:59; Point C: 84:59; Point D: 91:-33; Angle A: 88; Angle B: 95; Angle C: 94; Angle D: 81; Square: 4400;
132. Point A: -71:-98; Point B: 29:84; Point C: 79:84; Point D: 91:-33; Angle A: 39; Angle B: 118; Angle C: 95; Angle D: 106; Square: 19292;
133. Point A: 29:84; Point B: 43:96; Point C: 72:96; Point D: 91:-33; Angle A: 102; Angle B: 139; Angle C: 98; Angle D: 19; Square: 540;
134. Point A: 26:78; Point B: 43:96; Point C: 72:96; Point D: 91:-33; Angle A: 106; Angle B: 133; Angle C: 98; Angle D: 21; Square: 846;
135. Point A: 28:-4; Point B: 42:59; Point C: 84:59; Point D: 91:-33; Angle A: 102; Angle B: 102; Angle C: 94; Angle D: 60; Square: 3276;
136. Point A: -98:-1; Point B: 42:59; Point C: 84:59; Point D: 91:-33; Angle A: 32; Angle B: 156; Angle C: 94; Angle D: 76; Square: 6900;
137. Point A: 42:59; Point B: 43:96; Point C: 72:96; Point D: 91:-33; Angle A: 150; Angle B: 91; Angle C: 98; Angle D: 19; Square: 1443;
138. Point A: -23:-95; Point B: 23:16; Point C: 34:16; Point D: 56:-90; Angle A: 63; Angle B: 112; Angle C: 101; Angle D: 81; Square: 4995;
139. Point A: -26:24; Point B: 44:52; Point C: 85:52; Point D: 91:-33; Angle A: 47; Angle B: 158; Angle C: 94; Angle D: 59; Square: 2212;
140. Point A: 23:16; Point B: 44:52; Point C: 85:52; Point D: 91:-33; Angle A: 95; Angle B: 120; Angle C: 94; Angle D: 50; Square: 1944;
141. Point A: 44:52; Point B: 47:68; Point C: 57:68; Point D: 91:-33; Angle A: 140; Angle B: 100; Angle C: 108; Angle D: 10; Square: 448;
142. Point A: 56:-90; Point B: 91:-33; Point C: 99:-33; Point D: 100:-80; Angle A: 45; Angle B: 121; Angle C: 91; Angle D: 101; Square: 1482;
143. Point A: -29:73; Point B: 43:96; Point C: 72:96; Point D: 73:43; Angle A: 34; Angle B: 162; Angle C: 91; Angle D: 72; Square: 1495;
144. Point A: 41:57; Point B: 43:96; Point C: 72:96; Point D: 100:-15; Angle A: 137; Angle B: 92; Angle C: 104; Angle D: 25; Square: 1716;
145. Point A: -100:77; Point B: -65:95; Point C: -18:95; Point D: 59:-93; Angle A: 74; Angle B: 152; Angle C: 112; Angle D: 20; Square: 1854;
146. Point A: 35:-98; Point B: 37:68; Point C: 47:68; Point D: 62:-90; Angle A: 72; Angle B: 90; Angle C: 95; Angle D: 101; Square: 2988;
147. Point A: 34:16; Point B: 37:68; Point C: 47:68; Point D: 62:-90; Angle A: 161; Angle B: 93; Angle C: 95; Angle D: 9; Square: 988;
148. Point A: 39:21; Point B: 47:68; Point C: 57:68; Point D: 62:-90; Angle A: 158; Angle B: 99; Angle C: 91; Angle D: 9; Square: 752;
149. Point A: -43:6; Point B: 47:68; Point C: 57:68; Point D: 100:-15; Angle A: 42; Angle B: 145; Angle C: 117; Angle D: 54; Square: 4712;
150. Point A: -66:-30; Point B: -65:95; Point C: -18:95; Point D: 100:-15; Angle A: 84; Angle B: 90; Angle C: 137; Angle D: 48; Square: 13250;
151. Point A: -65:95; Point B: -37:97; Point C: 17:97; Point D: 100:-15; Angle A: 37; Angle B: 175; Angle C: 126; Angle D: 19; Square: 218;
152. Point A: -25:-71; Point B: -1:-53; Point C: 61:-53; Point D: 82:-91; Angle A: 47; Angle B: 143; Angle C: 118; Angle D: 50; Square: 1512;
153. Point A: -24:-19; Point B: 16:51; Point C: 96:51; Point D: 100:-80; Angle A: 86; Angle B: 119; Angle C: 91; Angle D: 62; Square: 7140;
154. Point A: -43:-3; Point B: 16:51; Point C: 96:51; Point D: 100:-80; Angle A: 70; Angle B: 137; Angle C: 91; Angle D: 59; Square: 5994;
155. Point A: -12:-36; Point B: 16:51; Point C: 96:51; Point D: 100:-80; Angle A: 93; Angle B: 107; Angle C: 91; Angle D: 66; Square: 8352;
156. Point A: -75:-7; Point B: -44:29; Point C: -24:29; Point D: 66:-39; Angle A: 62; Angle B: 130; Angle C: 142; Angle D: 24; Square: 2880;
157. Point A: -79:-54; Point B: -44:29; Point C: -24:29; Point D: 66:-39; Angle A: 61; Angle B: 112; Angle C: 142; Angle D: 42; Square: 6806;
158. Point A: -44:29; Point B: 16:51; Point C: 96:51; Point D: 100:-80; Angle A: 57; Angle B: 159; Angle C: 91; Angle D: 51; Square: 2464;
159. Point A: -58:1; Point B: 16:51; Point C: 96:51; Point D: 100:-80; Angle A: 61; Angle B: 145; Angle C: 91; Angle D: 61; Square: 5950;
160. Point A: -22:52; Point B: 2:66; Point C: 20:66; Point D: 66:-39; Angle A: 76; Angle B: 149; Angle C: 113; Angle D: 20; Square: 742;
161. Point A: 4:-85; Point B: 54:-29; Point C: 72:-29; Point D: 82:-91; Angle A: 52; Angle B: 131; Angle C: 99; Angle D: 76; Square: 2688;
162. Point A: 47:-20; Point B: 51:32; Point C: 78:32; Point D: 100:-80; Angle A: 134; Angle B: 94; Angle C: 101; Angle D: 30; Square: 2080;
163. Point A: 17:81; Point B: 61:87; Point C: 67:87; Point D: 100:-80; Angle A: 70; Angle B: 172; Angle C: 101; Angle D: 16; Square: 264;
164. Point A: 57:76; Point B: 61:87; Point C: 67:87; Point D: 100:-80; Angle A: 144; Angle B: 109; Angle C: 101; Angle D: 4; Square: 264;
165. Point A: -62:70; Point B: -41:86; Point C: 10:86; Point D: 49:-35; Angle A: 80; Angle B: 142; Angle C: 107; Angle D: 28; Square: 1296;
166. Point A: -41:86; Point B: 61:87; Point C: 67:87; Point D: 78:32; Angle A: 24; Angle B: 179; Angle C: 101; Angle D: 54; Square: 62;
167. Point A: 61:87; Point B: 73:89; Point C: 89:89; Point D: 93:-58; Angle A: 87; Angle B: 170; Angle C: 91; Angle D: 10; Square: 48;
168. Point A: 30:82; Point B: 54:83; Point C: 83:83; Point D: 93:-58; Angle A: 68; Angle B: 177; Angle C: 94; Angle D: 20; Square: 46;
169. Point A: 54:83; Point B: 73:86; Point C: 92:86; Point D: 93:-58; Angle A: 83; Angle B: 171; Angle C: 90; Angle D: 15; Square: 87;
170. Point A: -73:51; Point B: 29:75; Point C: 42:75; Point D: 53:-82; Angle A: 59; Angle B: 166; Angle C: 94; Angle D: 39; Square: 1656;
171. Point A: -83:63; Point B: 29:75; Point C: 42:75; Point D: 53:-82; Angle A: 52; Angle B: 173; Angle C: 94; Angle D: 39; Square: 888;
172. Point A: 53:-82; Point B: 81:-14; Point C: 99:-14; Point D: 100:-63; Angle A: 45; Angle B: 112; Angle C: 91; Angle D: 110; Square: 2176;
173. Point A: 43:-65; Point B: 46:38; Point C: 78:38; Point D: 81:-14; Angle A: 35; Angle B: 91; Angle C: 93; Angle D: 140; Square: 3605;
174. Point A: -72:-64; Point B: 29:75; Point C: 42:75; Point D: 81:-14; Angle A: 35; Angle B: 126; Angle C: 113; Angle D: 84; Square: 11537;
175. Point A: -79:-22; Point B: 29:75; Point C: 42:75; Point D: 81:-14; Angle A: 39; Angle B: 138; Angle C: 113; Angle D: 69; Square: 8342;
